LCR,LCR DESC,INC DATETIME,INC NO,LOCATION,DISTRICT
40A,Motor Vehicle Theft,05/25/2015 01:23:00 PM,P15027964,"(35.77608568277909, -78.6366944953831)",DOWNTOWN
40A,Motor Vehicle Theft,05/25/2015 01:15:00 PM,P15027959,"(35.87382343592409, -78.58623795563588)",NORTH
40A,Motor Vehicle Theft,05/25/2015 01:13:00 AM,P15027932,"(35.825744659176294, -78.62008136605434)",NORTH
40A,Motor Vehicle Theft,05/24/2015 03:03:00 PM,P15027844,"(35.79301238000005, -78.64420011299995)",DOWNTOWN
40A,Motor Vehicle Theft,05/24/2015 07:54:00 AM,P15027793,"(35.782375238213085, -78.72151782734437)",SOUTWEST
40A,Motor Vehicle Theft,05/24/2015 02:16:00 AM,P15027775,"(35.77060076542661, -78.61708820363579)",SOUTHEAST
40A,Motor Vehicle Theft,05/23/2015 11:39:00 PM,P15027753,"(35.839641814568, -78.595602660697)",NORTH
40A,Motor Vehicle Theft,05/23/2015 07:43:00 PM,P15027718,"(35.769069614940705, -78.6489606799618)",DOWNTOWN
40A,Motor Vehicle Theft,05/23/2015 04:45:00 PM,P15027688,"(35.7808029093007, -78.64005455307922)",DOWNTOWN
40A,Motor Vehicle Theft,05/23/2015 04:40:00 PM,P15027693,"(35.87060755722779, -78.58860230132986)",NORTH
